employee_id,age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled
10001,60,Female,Single,55122.97,Part-time,West,No,1.5,0
10002,50,Female,Single,89549.66,Full-time,West,Yes,12.8,1
10003,36,Male,Divorced,74145.66,Part-time,Midwest,No,3.8,0
10004,64,Female,Married,53877.83,Full-time,Northeast,No,3.3,0
10005,29,Male,Single,63404.63,Contract,Midwest,Yes,10.0,0
10006,42,Male,Married,66274.58,Contract,West,Yes,1.0,1
10007,60,Male,Divorced,63415.31,Full-time,South,Yes,3.3,1
10008,40,Male,Married,60616.13,Full-time,West,No,3.1,1
10009,44,Female,Single,83459.03,Full-time,South,Yes,0.3,1
10010,32,Male,Divorced,72926.06,Part-time,South,No,10.8,0
10011,32,Female,Single,98799.68,Part-time,Midwest,No,4.8,0
10012,45,Male,Married,84280.76,Contract,West,Yes,8.8,1
10013,57,Other,Married,67044.67,Full-time,Midwest,No,16.2,1
10014,61,Female,Divorced,86256.61,Full-time,West,Yes,2.6,1
10015,45,Female,Divorced,70292.4,Full-time,South,Yes,6.5,1
10016,24,Male,Divorced,101274.38,Full-time,Northeast,Yes,3.4,1
10017,43,Male,Single,60275.85,Full-time,West,Yes,15.1,1
10018,23,Male,Divorced,71795.67,Contract,South,Yes,1.1,0
10019,45,Female,Single,55989.44,Full-time,Northeast,Yes,0.1,1
10020,51,Female,Single,59284.06,Part-time,West,No,0.8,0
10021,59,Male,Married,59879.08,Full-time,Northeast,No,0.5,0
10022,23,Male,Married,83543.55,Full-time,West,No,2.3,0
10023,42,Female,Married,68120.48,Full-time,West,No,0.3,1
10024,54,Male,Married,28115.67,Full-time,Northeast,No,1.0,0
10025,33,Female,Divorced,66404.88,Contract,Midwest,Yes,0.4,1
10026,43,Female,Single,50391.74,Full-time,Northeast,Yes,2.7,1
10027,46,Female,Single,58389.96,Full-time,Northeast,Yes,1.2,1
10028,48,Male,Divorced,82259.36,Part-time,South,Yes,2.5,1
10029,63,Male,Single,44848.12,Contract,Northeast,No,0.4,0
10030,49,Female,Married,46577.69,Full-time,West,No,2.9,0
10031,37,Female,Married,40092.93,Full-time,West,No,0.6,0
10032,36,Male,Married,59188.66,Full-time,Northeast,Yes,0.4,1
10033,24,Male,Married,39655.9,Full-time,South,No,1.5,0
10034,58,Female,Single,40914.24,Full-time,West,No,8.3,0
10035,28,Female,Divorced,61553.01,Contract,Midwest,Yes,6.2,0
10036,42,Female,Single,69705.66,Full-time,Northeast,Yes,12.8,1
